"ID","Country","State","Municipality","Study_location","Latitude","Longitude","Precision","Reserve_Area","Altitude","Altitude1km","Annual_mean_temperature","Annual_rainfall","Olsong200r","Olsoneconame","ribeirovegtype","BSRs","uc","protectedtype"
"bat1001","Brazil","SAO PAULO","CANANEIA","Parque Estadual da Ilha do Cardoso","-25.08685287000","-47.92796182000","Not-Precise",15100,"16",16,"22.6",2487,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Park"
"bat1002","Brazil","SANTA CATARINA","BLUMENAU","Parque Natural Municipal Nascentes do Garcia","-27.06000000000","-49.08000000000","Not-Precise",5296.16,"460",398,"18.5",1651,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Park"
"bat1003","Brazil","RIO GRANDE DO NORTE","NISIA FLORESTA","Nisia Floresta National Forest","-6.08625100000","-35.18492900000","Precise",174.95,"64",60,"25.6",1329,"Atlantic Forests","Atlantic Coast restingas",NA,"Pernambuco","Y","Protected Forest"
"bat1004","Brazil","RIO GRANDE DO SUL","FREDERICO WESTPHALEN","Frederico Westphalen","-27.36189731000","-53.40998121000","Not-Precise",2,"554",554,"19.1",1884,"Atlantic Forests","Araucaria moist forests","Mixed Ombrophilous Forest","Florestas de Araucaria",NA,NA
"bat1005","Brazil","PARANA","FENIX","Sitios de Fenix Parana","-23.90972073000","-51.95837570000","Not-Precise",40,"354",357,"20.9",1489,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1006","Brazil","SAO PAULO","SAO JOSE DO RIO PRETO","Talhadinho","-20.70221290000","-49.30105648000","Not-Precise",8,"524",509,"22.9",1294,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1007","Brazil","PARANA","MORRETES","Marumbi","-25.44058360000","-48.91900376000","Not-Precise",43,"652",652,"18.6",1737,"Atlantic Forests","Araucaria moist forests","Mixed Ombrophilous Forest","Florestas de Araucaria",NA,"World Heritage Site"
"bat1008","Brazil","PARANA","DOUTOR CAMARGO","Recanto Marista","-23.54428929000","-52.22028554000","Not-Precise",37,"348",345,"20.7",1346,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1009","Brazil","MATO GROSSO DO SUL","PORTO MURTINHO","Serra da Bodoquena","-21.18916715000","-56.71644960000","Not-Precise",76481,"544",544,"22.6",1355,"Cerrado Woodlands and Savannas","Cerrado","Deciduous Forest","Interior Forests","Y","Park"
"bat1010","Brazil","SAO PAULO","BOTUCATU","Fazenda Experimental Edgardia","-22.80323607000","-48.39966688000","Not-Precise",3,"570",570,"20.4",1287,"Cerrado Woodlands and Savannas","Cerrado","Savana","Interior Forests","Y",NA
"bat1011","Brazil","SANTA CATARINA","CRICIUMA","UNESC","-28.67444444000","-49.36722222000","Not-Precise",NA,NA,49,"19.5",1356,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar",NA,NA
"bat1012","Brazil","RIO DE JANEIRO","DUQUE DE CAXIAS","Reserva Biologica Tingua","-22.57000000000","-43.38000000000","Not-Precise",26260,"242",200,"21.9",2135,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Biological Reserve"
"bat1013","Brazil","RIO DE JANEIRO","RIO DE JANEIRO","Parque Estatual da Pedra Branca","-22.96700000000","-43.45830000000","Not-Precise",11556.65,"234",347,"21.4",1503,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Park"
"bat1014","Brazil","PARANA","LONDRINA","Mata dos Godoy","-23.45000000000","-51.25000000000","Not-Precise",39,"633",603,"20.5",1502,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1015","Brazil","SAO PAULO","TEODORO SAMPAIO","Morro do Diabo","-22.57602378000","-52.23934254000","Not-Precise",33845.33,"402",369,"22.1",1194,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Park"
"bat1016","Brazil","PARANA","TELEMACO BORBA","Telemaco Borba","-24.20000000000","-50.55000000000","Not-Precise",2,"778",778,"18.3",1374,"Atlantic Forests","Araucaria moist forests",NA,"Florestas de Araucaria",NA,NA
