,ID_codref,Bib_Ref,Country,State,Municipality,Site,Latitude_y,Longitude_x,Category_coord,Year_start,Year_finish,Habitat,Method,Number_nets,Net_size,RN_total_effort,Number_point_counts,Point_count_temporal_replicates,PE_total_effort,Olsoneconame,OlsonG200r,Ribeirovegtype,BSRs,Altitude,Annual_rainfall,Annual_temperature
1,a14,"PA Brasil. 2002.RelatÛrio Ambiental Preliminar do Loteamento Fechado Parque Chapada de Itu, SP. PA Brasil Consultoria, Planejamento e Gest„o Ambiental.",Brazil,SP,Itu,Loteamento Parque Chapada de Itu,-23.25,-47.28333333,MUN,2002,2002,Forest edge,LO,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1804,"Abe, L. M. 1997. Estudo da avifauna em remanescentes florestais contÌguos a reflorestamentos com Pinus eliottii Engelm., 1880. Estudos de Biologia 41:37ñ60.",Brazil,PRÅ,CAMPO LARGO,fazenda Rio ConceiÁ„o,-25.08333333,-49.71666667,MOS,1994,1996,Not informed,INV,,NA,NA,NA,NA,NA,Araucaria moist forests,Atlantic Forests,Floresta Ombrofila Mista,Florestas de Arauc√°ria,920,180,22.6
3,Rodrigues_54,"Abreu, T. L. S. 2000. Efeitos de queimada sobre a comunidade de aves. DissertaÁ„o de Mestrado. Universidade de BrasÌlia, DF, Brasil.",Brazil,GO,PLANALTINA,PN BrasÌlia,-15.408,-47.575,,1998,2000,Not informed,TRS,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,NA,NA,1083,238,22.4
4,Rodrigues_55,"Abreu, T. L. S. 2000. Efeitos de queimada sobre a comunidade de aves. DissertaÁ„o de Mestrado. Universidade de BrasÌlia, DF, Brasil.",Brazil,GO,PLANALTINA,PN BrasÌlia,-15.408,-47.575,,1998,2000,Forest,TRS,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,NA,NA,1083,238,22.4
5,t20,"Adisan Engenharia. 2002. Estudo de Impacto Ambiental do sistema de disposiÁ„o final de resÌduos sÛlidos urbanos do municÌpio de Franca, SP. Adisan Engenharia e Projetos.",Brazil,SP,FRANCA,Extremo sudoeste do municÌpio de Franca,-20.53333333,-47.4,MUN,2002,2002,Forest,LO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,920,277,20.4
6,t21,"Adisan Engenharia. 2002. Estudo de Impacto Ambiental do sistema de disposiÁ„o final de resÌduos sÛlidos urbanos do municÌpio de Franca, SP. Adisan Engenharia e Projetos.",Brazil,SP,FRANCA,Extremo sudoeste do municÌpio de Franca,-20.53333333,-47.4,MUN,2002,2002,Open area,LO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,920,277,20.4
7,t22,"Adisan Engenharia. 2002. Estudo de Impacto Ambiental do sistema de disposiÁ„o final de resÌduos sÛlidos urbanos do municÌpio de Franca, SP. Adisan Engenharia e Projetos.",Brazil,SP,FRANCA,Extremo sudoeste do municÌpio de Franca,-20.53333333,-47.4,MUN,2002,2002,Several,LO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,920,277,20.4
8,Bovo_73,"Agnello, S. 2007. ComposiÁ„o, estrutura e conservaÁ„o da comunidade de aves da Mata Atl‚ntica no Parque Estadual da Serra do Mar, Nucleo Cubat„o, S„o Paulo. DissertaÁ„o de Mestrado. Universidade de S„o Paulo, S„o Paulo, Brasil.",Brazil,SP,SAO BERNARDO DO CAMPO,"N˙cleo Cubat„o, Parque Estadual da Serra do Mar",-23.86666667,-46.5,PTCENTRAL,2002,2005,Rocky grasslands,OO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,606,367,20.2
9,P10,"Agnello, S. 2003. Estudo da comunidade de aves da Mata Atl‚ntica, no Parque Estadual da Serra do Mar - N˙cleo Cubat„o, SP. Monografia de GraduaÁ„o. Universidade Metodista de S„o Paulo, S„o Paulo, Brazil.",Brazil,SP,SAO BERNARDO DO CAMPO,Parque Estadual da Serra do Mar,-23.875,-46.491666,AREAq,2002,2003,Open area,TRS,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,613,371,20.6
10,r54,"Agnello, S. 2003. Estudo da comunidade de aves da Mata Atl‚ntica, no Parque Estadual da Serra do Mar - N˙cleo Cubat„o, SP. Monografia de GraduaÁ„o. Universidade Metodista de S„o Paulo, S„o Paulo, Brazil.",Brazil,SP,SAO BERNARDO DO CAMPO,Parque Estadual da Serra do Mar,-23.875,-46.491666,AREAq,2002,2003,Forest edge,TRS,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,613,371,20.6
11,a15,"¡gua e Solo. 2006.RelatÛrio Ambiental Preliminar do Parque Industrial Nove de Julho, Americana, SP. ¡gua e Solo Consultoria.",Brazil,SP,Americana,Parque Industrial Nove de Julho,-22.69666667,-47.31027778,MOS,2006,2006,Not informed,LO,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,a16,"¡gua e Solo. 2006.RelatÛrio Ambiental Preliminar do Parque Industrial Nove de Julho, Americana, SP. ¡gua e Solo Consultoria.",Brazil,SP,Americana,Parque Industrial Nove de Julho,-22.69666667,-47.31027778,MOS,2006,2006,Several,LO,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,a17,"¡gua e Solo. 2006.RelatÛrio Ambiental Preliminar do Parque Industrial Nove de Julho, Americana, SP. ¡gua e Solo Consultoria.",Brazil,SP,Americana,Parque Industrial Nove de Julho,-22.69666667,-47.31027778,MOS,2006,2006,Not informed,LO,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,660,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,SANTO AMARO DA IMPERATRIZ,Serra do Tabuleiro,-27.734166,-48.811388,MOS,1989,1990,Forest,LO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,309,240,22.5
15,661,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,PALHOCA,Serra do Tabuleiro,-27.633333,-48.666666,MUN,1989,1990,Not informed,RL,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,8,207,24.6
16,662,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,SANTO AMARO DA IMPERATRIZ,Serra do Tabuleiro,-27.683333,-48.766666,MUN,1989,1990,Forest,LO,,NA,NA,NA,NA,NA,Araucaria moist forests,Atlantic Forests,Floresta Ombrofila Densa,Florestas de Arauc√°ria,146,214,24.5
17,663,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,SANTO AMARO DA IMPERATRIZ,Serra do Tabuleiro,-27.683333,-48.766666,MUN,1989,1990,Forest,LO,,NA,NA,NA,NA,NA,Araucaria moist forests,Atlantic Forests,Floresta Ombrofila Densa,Florestas de Arauc√°ria,146,214,24.5
18,664,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,FLORIANOPOLIS,Ilha de Santa Catarina,-27.5,-48.5,AREAq,1989,1990,Forest,LO,,NA,NA,NA,NA,NA,Southern Atlantic mangroves,NA,Floresta Ombrofila Densa,Serra do Mar,117,200,24.2
19,665,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,SANTO AMARO DA IMPERATRIZ,Serra do Tabuleiro,-27.683333,-48.766666,MUN,1989,1990,Forest,LO,,NA,NA,NA,NA,NA,Araucaria moist forests,Atlantic Forests,Floresta Ombrofila Densa,Florestas de Arauc√°ria,146,214,24.5
20,666,"Albuquerque, J. L. B., and F. M. Br¸ggemann.  1996. A avifauna do Parque Estadual da Serra do Tabuleiro, Santa Catarina, Brasil e as implicaÁıes para sua conservaÁ„o. Acta Biologica Leopoldense 18(1):47ñ68.",Brazil,SC,PAULO LOPES,Serra do Tabuleiro,-27.95,-48.683333,MUN,1989,1990,Rocky grasslands,LO,,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,67,199,24.2
21,Tonetti _1,"Aleixo, A. L. P., and M. Galetti. 1997. The conservation of the avifauna in a lowland Atlantic forest in southeast Brazil. Bird Conservation International 7:235ñ261",Brazil,SP,SETE BARRAS,Parque Estadual Intervales,-24.235833,-48.080833,PTCENTRAL,1993,1996,Rocky grasslands,PE,NA,NA,NA,NA,NA,NA,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,149,240,25.9
22,Costa_1,"Aleixo, A. L. P. 1999. Effects of selective logging on a bird community in the Brazilian Atlantic Forest. Condor 101:537ñ548.",Brazil,SP,SETE BARRAS,Primary Forest,-24.14,-48.04,,1994,1996,Rocky grasslands,PE,,NA,NA,73,25,163,Serra do Mar coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Serra do Mar,848,203,20.8
