id_cod,Order,Family,Species,English _Name,IUCN_Status,Endemic _Atlantic_Forest
1,Tinamiformes,Tinamidae,Tinamus solitarius,Solitary Tinamou,NT,X
2,Tinamiformes,Tinamidae,Crypturellus soui,Little Tinamou,LC,
3,Tinamiformes,Tinamidae,Crypturellus obsoletus,Brown Tinamou,LC,
4,Tinamiformes,Tinamidae,Crypturellus undulatus,Undulated Tinamou,LC,
5,Tinamiformes,Tinamidae,Crypturellus noctivagus,Yellow-legged Tinamou,NT,X
6,Tinamiformes,Tinamidae,Crypturellus variegatus,Variegated Tinamou,LC,
7,Tinamiformes,Tinamidae,Crypturellus tataupa,Tataupa Tinamou,LC,
8,Tinamiformes,Tinamidae,Rhynchotus rufescens,Red-winged Tinamou,LC,
9,Tinamiformes,Tinamidae,Nothura boraquira,White-bellied Nothura,LC,
10,Tinamiformes,Tinamidae,Nothura maculosa,Spotted Nothura,LC,
11,Anseriformes,Anhimidae,Anhima cornuta,Horned Screamer,LC,
12,Anseriformes,Anhimidae,Chauna torquata,Southern Screamer,LC,
13,Anseriformes,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,LC,
14,Anseriformes,Anatidae,Dendrocygna viduata,White-faced Whistling-Duck,LC,
15,Anseriformes,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,LC,
16,Anseriformes,Anatidae,Cygnus melancoryphus,Black-necked Swan,LC,
17,Anseriformes,Anatidae,Cairina moschata,Muscovy Duck,LC,
18,Anseriformes,Anatidae,Sarkidiornis sylvicola,Comb Duck,LC,
19,Anseriformes,Anatidae,Amazonetta brasiliensis,Brazilian Teal,LC,
20,Anseriformes,Anatidae,Anas flavirostris,Yellow-billed Teal,LC,
21,Anseriformes,Anatidae,Anas georgica,Yellow-billed Pintail,LC,
22,Anseriformes,Anatidae,Anas bahamensis,White-cheeked Pintail,LC,
23,Anseriformes,Anatidae,Netta erythrophthalma,Southern Pochard,LC,
24,Anseriformes,Anatidae,Netta peposaca,Rosy-billed Pochard,LC,
25,Anseriformes,Anatidae,Nomonyx dominicus,Masked Duck,LC,
26,Galliformes,Cracidae,Penelope superciliaris,Rusty-margined Guan,LC,
27,Galliformes,Cracidae,Penelope obscura,Dusky-legged Guan,LC,X
28,Galliformes,Cracidae,Aburria jacutinga,Black-fronted Piping-Guan,LC,X
29,Galliformes,Cracidae,Ortalis guttata,Speckled Chachalaca,LC,X
30,Galliformes,Cracidae,Ortalis squamata,Scaled Chachalaca,LC,X
31,Galliformes,Cracidae,Crax blumenbachii,Red-billed Curassow,EN,X
32,Galliformes,Odontophoridae,Odontophorus capueira,Spot-winged Wood-Quail,LC,X
33,Podicipediformes,Podicipedidae,Rollandia rolland,White-tufted Grebe,LC,
34,Podicipediformes,Podicipedidae,Tachybaptus dominicus,Least Grebe,LC,
35,Podicipediformes,Podicipedidae,Podilymbus podiceps,Pied-billed Grebe,LC,
36,Podicipediformes,Podicipedidae,Podicephorus major,Great Grebe,LC, 
37,Sphenisciformes,Spheniscidae,Spheniscus magellanicus,Magellanic Penguin,NT,
38,Procellariiformes,Diomedeidae,Thalassarche chlororhynchos,Yellow-nosed Albatross,EN,
39,Procellariiformes,Diomedeidae,Thalassarche melanophris,Black-browed Albatross,NT,
40,Procellariiformes,Diomedeidae,Thalassarche chrysostoma,Gray-headed Albatross,EN,
41,Procellariiformes,Diomedeidae,Diomedea epomophora,Royal Albatross,VU,
42,Procellariiformes,Diomedeidae,Diomedea exulans,Wandering Albatross,VU,
43,Procellariiformes,Procellariidae,Macronectes giganteus,Southern Giant-Petrel,LC,
44,Procellariiformes,Procellariidae,Fulmarus glacialoides,Southern Fulmar,LC,
45,Procellariiformes,Procellariidae,Daption capense,Cape Petrel,LC,
46,Procellariiformes,Procellariidae,Pterodroma incerta,Atlantic Petrel,EN,
47,Procellariiformes,Procellariidae,Pterodroma lessonii,White-headed Petrel,LC,
48,Procellariiformes,Procellariidae,Pachyptila vittata,Broad-billed Prion,LC,
49,Procellariiformes,Procellariidae,Pachyptila desolata,Antarctic Prion,LC,
50,Procellariiformes,Procellariidae,Pachyptila belcheri,Slender-billed Prion,LC,
51,Procellariiformes,Procellariidae,Procellaria aequinoctialis,White-chinned Petrel,VU,
52,Procellariiformes,Procellariidae,Calonectris borealis,Cory's Shearwater,LC,
53,Procellariiformes,Procellariidae,Puffinus griseus,Sooty Shearwater,LC,
54,Procellariiformes,Procellariidae,Puffinus gravis,Great Shearwater,LC,
55,Procellariiformes,Procellariidae,Puffinus puffinus,Manx Shearwater,LC,
56,Procellariiformes,Hydrobatidae,Oceanites oceanicus,Wilson's Storm-Petrel,LC,
57,Procellariiformes,Phaethontidae,Phaethon aethereus,Red-billed Tropicbird,LC,
58,Ciconiiformes,Ciconiidae,Ciconia maguari,Maguari Stork,LC,
59,Ciconiiformes,Ciconiidae,Jabiru mycteria,Jabiru,LC,
60,Ciconiiformes,Ciconiidae,Mycteria americana,Wood Stork,LC,
61,Ciconiiformes,Fregatidae,Fregata magnificens,Magnificent Frigatebird,LC,
