"record_id","survey_id","species_id","species_code","record","presence_absence"
10001.00,1001.00,1001.00,"Bos_taur",,0.00
10002.00,1001.00,1002.00,"Maza_amer",,0.00
10003.00,1001.00,1003.00,"Maza_goua",,0.00
10004.00,1001.00,1004.00,"Maza_nana",,0.00
10005.00,1001.00,1005.00,"Maza_sp.",,0.00
10006.00,1001.00,1006.00,"Sus_scro",,0.00
10007.00,1001.00,1007.00,"Peca_taja",,0.00
10008.00,1001.00,1008.00,"Taya_peca",,0.00
10009.00,1001.00,1009.00,"Cani_fami",107.00,1.00
10010.00,1001.00,1010.00,"Cerd_thou",,0.00
10011.00,1001.00,1011.00,"Chry_brac",,0.00
10012.00,1001.00,1012.00,"Lyca_gymn",,0.00
10013.00,1001.00,1013.00,"Speo_vena",,0.00
10014.00,1001.00,1014.00,"Feli_catu",,0.00
10015.00,1001.00,1015.00,"Leop_pard",6.00,1.00
10016.00,1001.00,1016.00,"Leop_gutt",,0.00
10017.00,1001.00,1017.00,"Leop_wied",,0.00
10018.00,1001.00,1018.00,"Leop_sp.",,0.00
10019.00,1001.00,1019.00,"Pant_onca",,0.00
10020.00,1001.00,1020.00,"Puma_conc",11.00,1.00
10021.00,1001.00,1021.00,"Puma_yago",4.00,1.00
10022.00,1001.00,1022.00,"Cone_chin",,0.00
10023.00,1001.00,1023.00,"Cone_semi",,0.00
10024.00,1001.00,1024.00,"Eira_barb",1.00,1.00
10025.00,1001.00,1025.00,"Gali_cuja",,0.00
10026.00,1001.00,1026.00,"Lont_long",,0.00
10027.00,1001.00,1027.00,"Nasu_nasu",10.00,1.00
10028.00,1001.00,1028.00,"Potu_flav",,0.00
10029.00,1001.00,1029.00,"Proc_canc",1.00,1.00
10030.00,1001.00,1030.00,"Stur_lili",,0.00
10031.00,1001.00,1031.00,"Caba_tato",5.00,1.00
10032.00,1001.00,1032.00,"Caba_unic",,0.00
10033.00,1001.00,1033.00,"Caba_sp.",,0.00
