"species_id","order","family","genus","species","species_name","species_code","iucn_status"
1001.00,"Artiodactyla","Bovidae","Bos","taurus","Bos taurus","Bos_taur","LC"
1002.00,"Artiodactyla","Cervidae","Mazama","americana","Mazama americana","Maza_amer","DD"
1003.00,"Artiodactyla","Cervidae","Mazama","gouazoubira","Mazama gouazoubira","Maza_goua","LC"
1004.00,"Artiodactyla","Cervidae","Mazama","nana","Mazama nana","Maza_nana","VU"
1005.00,"Artiodactyla","Cervidae","Mazama","sp.","Mazama sp.","Maza_sp.",
1006.00,"Artiodactyla","Suidae","Sus","scrofa","Sus scrofa","Sus_scro","IN"
1007.00,"Artiodactyla","Tayassuidae","Pecari","tajacu","Pecari tajacu","Peca_taja","LC"
1008.00,"Artiodactyla","Tayassuidae","Tayassu","pecari","Tayassu pecari","Taya_peca","VU"
1009.00,"Carnivora","Canidae","Canis","familiaris","Canis familiaris","Cani_fami","IN"
1010.00,"Carnivora","Canidae","Cerdocyon","thous","Cerdocyon thous","Cerd_thou","LC"
1011.00,"Carnivora","Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus","Chry_brac","NT"
1012.00,"Carnivora","Canidae","Lycalopex","gymnocercus","Lycalopex gymnocercus","Lyca_gymn","LC"
1013.00,"Carnivora","Canidae","Speothos","venaticus","Speothos venaticus","Speo_vena","NT"
1014.00,"Carnivora","Felidae","Felis","catus","Felis catus","Feli_catu","IN"
1015.00,"Carnivora","Felidae","Leopardus","pardalis","Leopardus pardalis","Leop_pard","LC"
1016.00,"Carnivora","Felidae","Leopardus","guttulus","Leopardus guttulus","Leop_gutt","VU"
1017.00,"Carnivora","Felidae","Leopardus","wiedii","Leopardus wiedii","Leop_wied","NT"
1018.00,"Carnivora","Felidae","Leopardus","sp.","Leopardus sp.","Leop_sp.",
1019.00,"Carnivora","Felidae","Panthera","onca","Panthera onca","Pant_onca","NT"
1020.00,"Carnivora","Felidae","Puma","concolor","Puma concolor","Puma_conc","LC"
1021.00,"Carnivora","Felidae","Puma","yagouaroundi","Puma yagouaroundi","Puma_yago","LC"
1022.00,"Carnivora","Mephitidae","Conepatus","chinga","Conepatus chinga","Cone_chin","LC"
1023.00,"Carnivora","Mephitidae","Conepatus","semistriatus","Conepatus semistriatus","Cone_semi","LC"
1024.00,"Carnivora","Mustelidae","Eira","barbara","Eira barbara","Eira_barb","LC"
