"study_id","study","ref_obs"
1001.00,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76.",
1002.00,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo.",
1003.00,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580.",
1004.00,"Christine, D., O. Kionka, M. N. Em, and F. Florestais. 2013. Mastofauna Nao-Voadora Em Fragmentos Florestais Pastagem Em Palmeira Das Missoes , Rs , Brasil Nativos Circundados Por Uma Matriz Agricola E De Pastagem Em Palmeira Das Missoes / Rs. Dissertacao de Mestrado em Ambiente e Desenvolvimento, Programa de Pos-Graduacao em Ambiente e Desenvolvimento, Centro Universitario Univates.",
1005.00,"Nunes, A. V., L. M. Scoss, M. R. Prado, and G. M. Lessa. 2013. Survey of large and medium-sized terrestrial mammals in the Serra do Brigadeiro State Park, Minas Gerais, Brazil. Check List 9:240–254.",
1006.00,"Cassano, C. R., J. Barlow, and R. Pardini. 2014. Forest loss or management intensification? Identifying causes of mammal decline in cacao agroforests. Biological Conservation 169:14–22.",
1007.00,"Goulart, F. V. B., N. C. Caceres, M. E. Graipel, M. A. Tortato, I. R. Ghizoni, and L. G. R. Oliveira-Santos. 2009. Habitat selection by large mammals in a southern Brazilian Atlantic Forest. Mammalian Biology 74:182–190.",
1008.00,"Srbek-Araujo, A. C., and A. G. Chiarello. 2005. Is camera-trapping an efficient method for surveying mammals in Neotropical forests? A case study in south-eastern Brazil. Journal of Tropical Ecology 21:121–125.",
1009.00,"Talamoni, S., B. Amaro, D. Cordeiro-Junior, and C. Maciel. 2014. Mammals of Reserva Particular do Patrimonio Natural Santuario do Caraca, state of Minas Gerais, Brazil. Check List 10:1005–1013.",
1010.00,"Cherem, J. J., M. E. Graipel, M. Tortato, S. Althoff, F. Bruggemann, J. Matos, J. C. Voltolini, R. Freitas, R. Illenseer, F. Hoffmann, I. R. Ghizoni-Jr, A. Bevilacqua, R. Reinicke, C. H. Salvador, A. Filippini, N. Furnari, K. Abati, M. Moraes, T. Moreira, L. G. Rodrigues, K. Vanessa, T. Maccarini, F. Goulart, H. Mozerle, F. Fantacini, D. Dias, R. Penedo-Ferreira, B. Pinto, and P. C. Simoes-Lopes. 2011. Mastofauna terrestre do Parque Estadual da Serra do Tabuleiro, Estado de Santa Catarina, sul do Brasil. Biotemas 24:73–84.",
