Species richness	Effort(traps/day)
19	2100
8	400
9	540
7	288
16	3680
17	6592
16	4825
18	1849
7	1253
21	3745
13	907
12	663
7	240
9	223
18	2781
10	104
5	257
6	1816
3	1134
2	1116
1	952
10	1895
16	2080
8	133
7	203
8	1028
9	366
11	250
12	555
21	1530
13	730
6	1095
13	7840
5	1768
15	1063
22	10567
12	4320
15	1970
14	2843
9	2406
13	1200
11	600
13	1200
7	360
6	180
4	120
11	360
11	240
9	240
8	240
6	240
9	240
8	240
8	240
8	240
12	240
8	240
11	240
12	240
6	240
9	240
10	240
4	240
7	240
7	240
10	240
10	240
12	240
28	5799
20	3473
2	109
3	198
17	4366
14	549
8	117
4	80
2	128
1	120
4	40
18	1234
19	1506
13	638
7	338
23	5616
9	810
23	8750
20	475
6	197
9	246
6	222
13	341
6	214
7	117
6	52
5	154
11	1460
5	94
11	1460
6	270
11	450
16	1035
19	2352
16	1650
8	1530
13	492
17	553
11	308
15	1352
17	2392
15	864
19	4135
11	429
18	4380
8	298
20	559
16	602
13	615
11	661
11	681
8	529
12	317
5	196
9	345
7	333
10	1092
20	6629
25	2611
25	2942
23	2676
22	2287
22	2327
26	1978
14	800
17	800
13	800
29	9078
12	1720
9	1444
5	214
6	248
4	192
21	6960
2	450
4	2880
