ID,Frugivore_Species,Plant_Species,Type of Interaction,Plant_family,Plant_genus,Plant_specific.epiteth,Plant_distribution,Plant_origin,Plant_Form,fruit_diameter,fruit_length,seed_diameter,seed_length,Fruit_color,Lipid_Score,Plants_IUCN,Frug_Class,Frug_Order,Frug_Family,Frug_Genus,Frug_Epitetus,Frug_Group,Frug_Body_Mass,Frug_Mean_Gape_Size,Frugivory_score,Frug_Migration_status,Frug_IUCN,Frug_Population_Trend,Study_Location,Latitude,Longitude,Precision,Study reference,Doi/Link,Study_Method
1192,Brachyteles arachnoides,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Mammalia,Primates,Atelidae,Brachyteles,arachnoides,Primates,10750,NA,3,NA,EN,Decreasing,NA,NA,NA,NA,Bufalo et al 2016 ,10.1007/s10764-016-9903-3,Animal-oriented
1193,Brachyteles arachnoides,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Mammalia,Primates,Atelidae,Brachyteles,arachnoides,Primates,10750,NA,3,NA,EN,Decreasing,NA,NA,NA,NA,Bufalo et al 2016 ,10.1007/s10764-016-9903-3,Animal-oriented
1194,Pyroderus scutatus,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Aves,Passeriformes,Cotingidae,Pyroderus,scutatus,Large birds,357,27.843,3,AM,LC,Decreasing,NA,NA,NA,NA,Pizo etal 2002,http://www4.museu-goeldi.br/revistabrornito/revista/index.php/BJO/article/view/1708,Animal-oriented
1195,Sapajus nigritus,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Mammalia,Primates,Cebidae,Sapajus,nigritus,Primates,3500,NA,2,NA,NT,Decreasing,NA,NA,NA,NA,Bufalo et al 2016 ,10.1007/s10764-016-9903-3,Animal-oriented
4268,Brachyteles arachnoides,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Mammalia,Primates,Atelidae,Brachyteles,arachnoides,Primates,10750,NA,3,NA,EN,Decreasing,"Reserva Biol¢gica Augusto Ruschi, ES",-19.866667,-40.55,preciso,Hilario 2010,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=ZNY27dYAAAAJ&cstart=100&sortby=pubdate&citation_for_view=ZNY27dYAAAAJ:BqipwSGYUEgC,Animal-oriented
4269,Brachyteles arachnoides,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Mammalia,Primates,Atelidae,Brachyteles,arachnoides,Primates,10750,NA,3,NA,EN,Decreasing,Parque Estadual de Intervales,-24.308775,-48.27359,preciso,Izar 2008,https://www.researchgate.net/publication/265466040_DISPERSAO_DE_SEMENTES_POR_CEBUS_NIGRITUS_E_BRACHYTELES_ARACHNOIDES_EM_AREA_DE_MATA_ATLANTICA_PARQUE_ESTADUAL_INTERVALES_SP,Animal-oriented
4270,Brachyteles arachnoides,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Mammalia,Primates,Atelidae,Brachyteles,arachnoides,Primates,10750,NA,3,NA,EN,Decreasing,"Fragmento Urbano de Aquidauana, MS",-20.467005,-55.78729,impreciso,Junior,NA,Animal-oriented
7154,Cacicus haemorrhous,Abuta selloana,Mutualistic,Menispermaceae,Abuta,selloana,BR-BA|BR-CE|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,liana,17,32,13.2,NA,yellow,1,LC,Aves,Passeriformes,Icteridae,Cacicus,haemorrhous,Large birds,102,12.43866667,1,RES,LC,Decreasing,Parque Estadual de Intervales,-24.265278,-48.406944,preciso,Wesley S et al 2002,10.1079/9780851995250.0423,Network study
7002,Crotophaga ani,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Cuculiformes,Cuculidae,Crotophaga,ani,Small birds,111.7333333,NA,1,RES,LC,Decreasing,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7003,Sicalis flaveola,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Thraupidae,Sicalis,flaveola,Small birds,17,NA,1,NA,LC,Stable,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
