ID ,Reference_number,Month_start,Year_start,Month_finish,Year_finish,Total_of_months,Sampling_habitat,Sampling_design,Effort,Method ,Trap_size,Strata_sampling,Order,Genus, Species_name_on_paper, Actual_species_name,Species_origin,Individuals_captured,Abundance_(ind/trap-nights),Voucher_Specimens
sm01,1,March,2012,January,2013,11,Interior,Grid,2692,Live traps,S/M/L,Ground,Didelphimorphia,Metachirus,Metachirus nudicaudatus,Metachirus nudicaudatus,Native,1,0.037147103,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,2692,Live traps,S/M/L,Ground,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,19,0.705794948,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,2692,Live traps,S/M/L,Ground,Rodentia,Akodon,Akodon cursor,Akodon cursor,Native,13,0.482912333,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,691,Pitfall,60L,Ground,Rodentia,Akodon,Akodon cursor,Akodon cursor,Native,15,2.170767004,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,2692,Live traps,S/M/L,Ground,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,100,3.714710253,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,691,Pitfall,60L,Ground,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,33,4.77568741,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,3383,Live traps/Pitfall,S/M/L and 60L,Ground,Rodentia,Nectomys,Nectomys squamipes,Nectomys squamipes,Native,14,0.413833875,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,691,Pitfall,60L,Ground,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,4,0.578871201,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,691,Pitfall,60L,Ground,Rodentia,Oecomys,Oecomys sp.,Oecomys catherinae,Native,1,0.1447178,NA
sm01,1,March,2012,January,2013,11,Interior,Grid,691,Pitfall,60L,Ground,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,4,0.578871201,NA
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,3,0.087719298,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Marmosops,Marmosops incanus,Marmosops incanus,Native,13,0.380116959,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis sp. n.,Monodelphis pinocchio,Native,4,0.116959064,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis iheringi,Monodelphis iheringi,Native,13,0.380116959,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis scalops,Monodelphis scalops,Native,2,0.058479532,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,8,0.233918129,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Akodon,Akodon montensis,Akodon montensis,Native,23,0.67251462,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Blarinomys,Blarinomys breviceps,Blarinomys breviceps,Native,1,0.029239766,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Brucepattersonius,Brucepattersonius soricinus,Brucepattersonius soricinus,Native,7,0.204678363,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,86,2.514619883,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,10,0.292397661,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Oecomys,Oecomys catherinae,Oecomys catherinae,Native,2,0.058479532,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,21,0.614035088,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Nectomys,Nectomys squamipes,Nectomys squamipes,Native,1,0.029239766,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Rhipidomys,Rhipidomys mastacalis,Rhipidomys itoan,Native,1,0.029239766,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Sooretamys,Sooretamys angouya,Sooretamys angouya,Native,4,0.116959064,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Thaptomys,Thaptomys nigrita,Thaptomys nigrita,Native,45,1.315789474,Yes
sm02,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Trinomys,Trinomys iheringi,Trinomys iheringi,Native,9,0.263157895,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,6,0.175438596,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Marmosops,Marmosops incanus,Marmosops incanus,Native,18,0.526315789,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis sp. n.,Monodelphis pinocchio,Native,1,0.029239766,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis iheringi,Monodelphis iheringi,Native,17,0.497076023,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis scalops,Monodelphis scalops,Native,6,0.175438596,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,1,0.029239766,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Akodon,Akodon montensis,Akodon montensis,Native,67,1.959064327,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Blarinomys,Blarinomys breviceps,Blarinomys breviceps,Native,5,0.14619883,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Brucepattersonius,Brucepattersonius soricinus,Brucepattersonius soricinus,Native,10,0.292397661,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Calomys,Calomys tener,Calomys tener,Native,1,0.029239766,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,84,2.456140351,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Juliomys,Juliomys pictipes,Juliomys pictipes,Native,2,0.058479532,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Oligoryzomys,Oligoryzomys nigripes,Oligoryzomys nigripes,Native,42,1.228070175,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Thaptomys,Thaptomys nigrita,Thaptomys nigrita,Native,106,3.099415205,Yes
sm03,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Trinomys,Trinomys iheringi,Trinomys iheringi,Native,1,0.029239766,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Didelphis,Didelphis aurita,Didelphis aurita,Native,2,0.058479532,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Gracilinanus,Gracilinanus microtarsus,Gracilinanus microtarsus,Native,2,0.058479532,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Marmosops,Marmosops incanus,Marmosops incanus,Native,4,0.116959064,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Metachirus,Metachirus nudicaudatus,Metachirus nudicaudatus,Native,7,0.204678363,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis americana,Monodelphis americana,Native,1,0.029239766,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Monodelphis,Monodelphis scalops,Monodelphis scalops,Native,7,0.204678363,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Didelphimorphia,Philander,Philander frenatus,Philander frenatus,Native,21,0.614035088,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Akodon,Akodon cursor,Akodon cursor,Native,5,0.14619883,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Akodon,Akodon montensis,Akodon montensis,Native,7,0.204678363,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Brucepattersonius,Brucepattersonius soricinus,Brucepattersonius soricinus,Native,2,0.058479532,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Delomys,Delomys sublineatus,Delomys sublineatus,Native,4,0.116959064,Yes
sm04,2,NA,NA,NA,NA,6,Interior,Grid,3420,Live traps and Pitfall,S/M/L and 60L,Ground,Rodentia,Euryoryzomys,Euryoryzomys russatus,Euryoryzomys russatus,Native,60,1.754385965,Yes
