Reference_number,Reference,Publication_year,Type of publication
1,Souza R M. Galetti unpublished data.,NA,Unpublish
2,Rodarte RRDP (2013) Ecologia Trófica De Pequenos Mamíferos Não Voadores Em Uma Área Contínua De Mata Atlântica. Universidade Estadual Paulista “Júlio de Mesquita Filho” Instituto de Biociências – Rio Claro.,2013,Thesis
3,Passamani M Mendes SrL Chiarello AG (2000) Non-volant mammals of the Estação Biológica de Santa Lúcia and adjacent areas of Santa Teresa Espírito Santo Brazil. Bol. Mus. Biol. Mello Leitão 11: 201-214.,2000,Article
4,Vieira EM Monteiro Filho ELA (2003) Vertical stratfication of small mammals in the Atlantic rain forest of south-eastern Brazil. Journal of Tropical Ecology 19: 501-507.,2003,Article
5,Bergallo HD (1994) Ecology of a Small Mammal Community in an Atlantic Forest Area in Southeastern Brazil. Studies on Neotropical Fauna and Environment 29: 197-217.,1994,Article
6,Palma ART (1996) Separação de Nichos entre pequenos mamíferos de Mata Atlântica. Universidade Estadual de Campinas.,1996,Thesis
7,Rocha FS (2004) A conservação de pequenos mamíferos no Pontal do Paranapanema (SP): diagnóstico de padrões de comunidades e sugestões de manejo. Doctor Universidade de São Paulo São Paulo ,2004,Thesis
8,Lima DO Azambuja BO Camilotti VL Caceres NC (2010) Small mammal community structure and microhabitat use in the austral boundary of the Atlantic Forest Brazil. Zoologia 27: 99-105.,2010,Article
9,Grelle CEV (2003) Forest structure and vertical stratification of small mammals in a secondary Atlantic forest southeastern Brazil. Studies on Neotropical Fauna and Environment 38: 81-85.,2003,Article
10,Stallings JR Fonseca GAB Pinto LPS Aguiar L Sábato EL (1991) Mamíferos do Parque Florestal Estadual do Rio Doce Minas Gerais Brasil. Revista Brasileira de Zoologia 7: 663-677.,1991,Article
11,Melo GL Sponchiado J Machado AF Caceres NC (2011) Small-mammal community structure in a South American deciduous Atlantic Forest. Community Ecology 12: 58-66.,2011,Article
12,Caceres NC Bornschein MR Lopes WH Percequillo AR (2007) Mammals of the Bodoquena Mountains southwestern Brazil: an ecological and conservation analysis. Revista Brasileira De Zoologia 24: 426-435.,2007,Article
13,Bonvicino CR Lindbergh SM Maroja LS (2002) Small non-flying mammals from conserved and altered areas of Atlantic Forest and Cerrado: comments on their potencial use for monitoring environment. Braz. J. Biol. 62: 765-774.,2002,Article
14,Moreira JC Manduca EG Gonçalves PR Morais Júnior MMd Pereira RF Lessa G Dergam JA (2009) Small mammals from Serra do Brigadeiro State Park Minas Gerais southeastern Brazil: species composition and elevational distribution. Arquivos do Museu Nacional 67: 103-118.,2009,Article
15,Pinotti BT (2010) Pequenos mamíferos terrestres e a regeneração da Mata Atlântica: influência da estrutura do hábitat e da disponibilidade de alimento na recuperação da fauna. Universidade de São Paulo.,2010,Thesis
16,Pardini R Umetsu F (2006) Pequenos mamíferos não-voadores da Reserva Florestal do Morro Grande: distribuição das espécies e da diversidade em uma área de Mata Atlântica. Biota Neotropica 6: 1-22.,2006,Article
17,Gaspar DA (2005) Comunidade de Mamíferos não voadores de um fragmento de floresta Atlântica Semidecídua do Município de Campinas SP. Universidade Estadual de Campinas.,2005,Thesis
18,Paresque R Souza WPd Mendes SL Fagundes V (2004) Composição cariotípica da fauna de roedores e marsupiais de duas áreas de Mata Atlântica do Estado do Espírito Santo Brasil. Boletim do Museu de Biologia Mello Leitão 17: 5-33.,2004,Article
19,Rocha-Mendes F Neves CL Nobre RA Marques RM Galetti M (2015) Mamíferos não voadores do Núcleo Santa Virgínia Parque Estadual da Serra do Mar São Paulo Brasil. Biota neotrop.(Online Ed. port.) 15.,2015,Article
20,Pardini R (2004) Effects of forest fragmentation on small mammals in an Atlantic Forest landscape. Biodiversity and Conservation 13: 2567-2586.,2004,Article
21,Moura RT (2003) Distribuição e ocorrência de mamíferos na Mata Atlântica do sul da Bahia. In: PI Prado EC Landau RT Moura LPS Pinto GAB Fonseca KN Alger (eds) Corredor de Biodiversidade da Mata Atlântica do Sul da Bahia 22. programas.inema.ba.gov.br Ilhéus IESB / CI / CABS / UFMG / UNICAMP.,2003,Book
22,Passamani M Ribeiro D (2009) Small mammals in a fragment and adjacent matrix in southeastern Brazil. Braz. J. Biol. 69: 305-309.,2009,Article
23,Umetsu F Naxara L Pardini R (2006) Evaluating the efficiency of pitfall traps for sampling small mammals in the neotropics. Journal of Mammalogy 87: 757-765.,2007,Article
